1) byfreeshock =>  by free shock
124) continuoussupersonicwind =>  continuous supersonic wind
125) inchsupersonicwindtunnel =>  inch supersonic windtunnel
126) theflowpastaslenderdelta =>  the flow past as lend er delta
127) exceptinexceptionalcases =>  except in exceptional cases
128) adiscussionoftheintegral =>  a discussion of the integral
129) detraandhidalgohaveshown =>  detra and hidalgo have shown
130) acircularcylinderwithtwo =>  a circular cylinder with two
131) presentationofstagnation =>  presentation of stagnation
132) beenextendedtoincludenon =>  been extended to include non
133) theintensityofturbulence =>  the intensity of turbulence
134) withthedevelopmentofhigh =>  with the development of high
135) anexactsolutionoftheheat =>  an exact solution of the heat
136) theflowaroundslenderwing =>  the flow around slender wing
137) amethodisdevelopedforthe =>  a method is developed forth e
138) theclampedplateproblemin =>  the clamped plate problem in
139) acollectionhasbeenmadeof =>  a collection has been made of
140) weconsiderinthisreportthe =>  we consider in this report the
141) theprofilesandthicknesses =>  the profiles and thicknesses
142) thetransonicflowroundatwo =>  the transonic flow round at w o
143) recentresultsoftestsinthe =>  recent results of tests in the
144) comparisonsaremadebetween =>  comparisons are made between
145) thispaperstudiesthesteady =>  this papers t u d i e s the steady
146) testshavebeenmadeinthreen =>  tests have been made in three n
147) fromananalysisoftheworkof =>  from an analysis of the work of
148) fromastudyofexistingsonic =>  from as t u dy of existing sonic
149) adescriptionisgivenofthen =>  a description is given of then
150) followingthemethodsoflyon =>  following them et h o d so fly on
151) astudywasmadeofthefatigue =>  as t u dy was made of the fatigue
152) withtheintroductionofhigh =>  with the introduction of high
153) thetransientperformanceof =>  the transient performance of
154) oftheperfectlyelasticthin =>  of the perfectly elastic thin
155) ofnewtoniantheoryforblunt =>  of newtonian theory for blunt
156) paperisatranslationofchap =>  paper is at r an s la tion of chap
157) aninvestigationtodetermine =>  an investigation to determine
158) themethodsoftheoperational =>  them et h o d soft he operational
159) asimplemethodofdetermining =>  as im p l e method of determining
160) measurementshavebeenmadeof =>  measurements have been made of
161) theproblemsofsolidblockage =>  the problems of solid blockage
162) aconewithabluntnosetipanda =>  a cone with ab l u n tn o set i p and a
163) theeconomyofadesigndepends =>  the economy of a design depends
164) resultsaregivenoflocalskin =>  results are given of local skin
165) controlsurfaceflutterofthe =>  controls u rf a
166) temperatureprofilesandheat =>  temperature profiles and heat
167) thispaperisabriefsummaryof =>  this paper is ab r i e f summary of
168) aninvestigationoftheeffect =>  an investigation of the effect
169) resultsofhypersonicflutter =>  results of hypersonic flutter
170) astudyhasbeenmadeofthetime =>  as t u dy has been made of the time
171) thetheoryoflaminarboundary =>  the theory of laminarboundary
172) testsweremadeofashortblunt =>  tests were made of as h or t blunt
173) asimplemethodofcalculating =>  as im p l e method of calculating
174) aninvestigationismadeofthe =>  an investigation is made of the
175) atechniqueisdiscussedwhich =>  at e
176) stateequationsofmotionfora =>  state equations of motion for a
177) anewstatictubeandanewpitot =>  an e w static tube and an e w pitot
178) theperformancetheoryforhigh =>  the performance theory for high
179) thepracticalneedforresearch =>  the practical need for research
180) estimatesofthevariationwith =>  estimates of the variation with
181) thepresentpaperconcernswith =>  the present paper concerns with
182) thetumblingmotionofvehicles =>  the tumbling motion of vehicles
183) theproblemofcircumferential =>  the problem of circumferential
184) improvementindetectedsignal =>  improvement in detected signal
185) resultsofanexperimentalheat =>  results of an experimental heat
186) inhisdetailedstudyofthenose =>  in his detailed study of then o s e
187) ageneraltheoryofsteadythree =>  age n er al theory of steady three
188) whengasesflowathighvelocity =>  when gases flow at highvelocity
189) theauthorsgiveabriefaccount =>  the authors give ab r i e f account
190) thisreportpresentsequations =>  this report presents equations
191) windtunneltestshavebeenmade =>  windtunnel tests have been made
192) suitableformsoftheequations =>  suitable forms of the equations
193) bytransformationofvariables =>  by transformation of variables
194) theroutinetestingofaircraft =>  the routine testing of aircraft
195) duringthermalfatiguetesting =>  during thermalfatigue testing
196) bymeansofsuitableexpansions =>  by means of suitable expansions
197) thisreportisrestrictedtothe =>  this report is restricted to the
198) extensionofpreviousanalyses =>  extension of previous analyses
199) thebucklingofsimplysupported =>  the buckling of simply supported
200) distributioninaboundarylayer =>  distribution in ab o u nd ary layer
201) itisdemonstratedthattheshock =>  it is demonstrated that the shock
202) approximateexpressionsforthe =>  approximate expressions forth e
203) dataarepresentedwhichprovide =>  data are presented which provide
204) thisreportcontainstheresults =>  this report contains there s u l t s
205) usingthetechniquesofboundary =>  using the techniques of boundary
206) existingmethodsofcalculating =>  existing methods of calculating
207) amethodforcomputingthesteady =>  a method for computing the steady
208) discussionofvariousturbulent =>  discussion of various turbulent
209) aninvestigationofsomeaspects =>  an investigation of some aspects
210) tunneltestshavebeenperformed =>  tunnel tests have been performed
211) itisshownthatshockwaveswhose =>  it is shown that shockwaves whose
212) afteranextensivesurveyofmean =>  after an extensive survey of mean
213) thisisthefirstofthreepartsof =>  this is the first of three parts of
214) asatellitevehicleisdescribed =>  as at e l li t e vehicle is described
215) areviewisgivenofdevelopments =>  are view is given of developments
216) resultsarepresentedfromawind =>  results are presented from a wind
217) bythedistortionofcoordinates =>  by the distortion of coordinates
218) thisreportgivestablesofthetwo =>  this report gives tables of the two
219) pressuredistributionshavebeen =>  pressuredistribution s have been
220) withthevonmisestransformation =>  with the von mises transformation
221) theeffectofairdragonsatellite =>  the effect of air drag on satellite
222) corridorsformannedvehiclesare =>  corridors form an n e d vehicles are
223) ananalysisismadeforthelaminar =>  an analysis is made forth e laminar
224) windtunnelexperimentswithside =>  windtunnel experiments with side
225) asummaryofexactsolutionsofthe =>  as u mm ary of exact solutions of the
226) andrapidmethodbywhichboundary =>  and rapid method by which boundary
227) forinitialstagnationpressures =>  for initial stagnation pressures
228) amethodisdescribedfortreating =>  a method is described fort re at ing
229) ontheoriesofvorticitytransfer =>  on theories of vorticity transfer
230) anexactgeneralmethodofsolving =>  an exact general method of solving
231) distributedroughnessbandsofno =>  distributed roughness bands of no
232) aheatconductionproblemissetup =>  a heat conduction problem is set up
233) themethodofgeneralisedconical =>  them et h o do f generalised conical
234) anexaminationhasbeenmadeofthe =>  an examination has been made of the
235) ageneraltheoryofcreepbuckling =>  age n er al theory of creepbuckling
236) measuredasafunctionofpressure =>  measured as a function of pressure
237) thenonviscousflowthroughamixed =>  then on viscous flow through a mixed
238) theproblemoftransientliftontwo =>  the problem of transient lift on two
239) amethodofpredictinglaminarheat =>  a method of predicting laminar heat
240) onthebasisofthehypersonicsmall =>  on the basis of the hypersonic small
241) anexperimentalinvestigationwas =>  an experimental investigation was
242) theequationsoftheboundarylayer =>  the equations of the boundarylayer
243) thisnotedescribestransientwall =>  this noted e s
244) panelfluttertestswereconducted =>  panel flutter tests were conducted
245) thedeflexionofauniformlyloaded =>  the deflexion of a uniformly loaded
246) oftheinfluenceofboundarylayers =>  of the influence of boundarylayer s
247) tohelpfillthegapintheknowledge =>  to help fill the gap in the knowledge
248) anewandgeneralmethodforsolving =>  an e w and general method for solving
249) turbulentrecoveryfactorandheat =>  turbulent recovery factor and heat
250) anexperimentalinvestigationhas =>  an experimental investigation has
251) semivertexangleconewerestudied =>  semivertex angle cone were studied
252) intheflowpastaslenderdeltawing =>  in the flow past as lend er delta wing
253) therateofenergytransferbetween =>  the rate of energy transfer between
254) thecamberandtwistdistributions =>  the camber and twist distributions
255) aninterpretationofthedehoffman =>  an interpretation of the de hoffman
256) forthinshellstherelationbetween =>  forth in shells there la tion between
257) accordingtotheclassicalboundary =>  according to the classical boundary
258) amethodforfindingrealandcomplex =>  a method for finding real and complex
259) abladedesignforahighlyloadedtwo =>  ab la de design for a highly loaded two
260) asaresultofstudiesmadeduringthe =>  as are s u l to f studies made during the
261) thedisplacementofaflatplatebent =>  the displacement of a flatplate bent
262) amethodofanalysisbasedonslender =>  a method of analysis based on slender
263) thetheoryofsupersonicflowaround =>  the theory of supersonic flow around
264) thecaseofcreepbucklingofcolumns =>  the case of creepbuckling of columns
265) theoreticalbucklingcoefficients =>  theoretical buckling coefficients
266) aninvestigationhasbeenconducted =>  an investigation has been conducted
267) thepresentstateofknowledgeonthe =>  the presents t at e of knowledge on the
268) theproblemofdeterminingthetotal =>  the problem of determining the total
269) transienttemperaturesinaerofoil =>  transient temperatures in aerofoil
270) thepolygonmethodofwoodsisusedto =>  the polygon method of woods is used to
271) amethodofdesigningpumpimpellers =>  a method of designing pump impellers
272) byconsiderationofantisymmetrical =>  by consideration of antisymmetrical
273) ageneralmethodisdescribedwhereby =>  age n er al method is described whereby
274) recenttheoreticalandexperimental =>  recent theoretical and experimental
275) thenonlinearboundaryvalueproblem =>  then on linear boundary value problem
276) theblasiusequationsubjecttothree =>  the blasius equations u b j e
277) theenergyseparationforlaminarlow =>  the energy separation for laminar low
278) discussionofapreviousapplication =>  discussion of a previous application
279) thebasicequationsundersimplified =>  the basic equations under simplified
280) layerequationshavebeenintegrated =>  layer equations have been integrated
281) developsasideforcelikethatofafin =>  develops aside force like that of a fin
282) bucklingtimesofinitiallystraight =>  buckling times of initially straight
283) thepresentreportgivesanaccountof =>  the present report gives an account of
284) aninvestigationhasbeenmadeinthen =>  an investigation has been made in then
285) ananalysisismadeoftheoscillatory =>  an analysis is made of the oscillatory
286) convectionflowandheattransferofan =>  convection flow and heattransfer of an
287) itisproposedtoshowthattheboundary =>  it is proposed to show that the boundary
288) orderboundarylayerdisturbancesare =>  order boundarylayer disturbances are
289) thegeneralcharacterofexperimental =>  the general character of experimental
290) thehypersonicviscousflowpastaflat =>  the hypersonic viscous flow past a flat
291) theinteractionbetweentheturbulent =>  the interaction between the turbulent
292) thehypersoniclaminarboundarylayer =>  the hypersonic laminarboundary layer
293) dimensionalheatconductionproblems =>  dimensional heat conduction problems
294) itisshownthatinthepotentialflowof =>  it is shown that in the potentialflow of
295) thispaperisconcernedwiththedesign =>  this paper is concerned with the design
296) anapproximatesolutionforthesteady =>  an approximates o l u tion forth e steady
297) aninvestigationwasconductedinthen =>  an investigation was conducted in then
298) theopticalandphysicalpropertiesof =>  the optical and physical properties of
299) thetheoryofthelaminarboundarylayer =>  the theory of the laminarboundary layer
300) theextensionalandflexuralequations =>  the extensional and flexural equations
301) thenaturalfrequenciesofacontinuous =>  then at u r al frequencies of a continuous
302) systematictestshavebeenmadeatamach =>  systematic tests have been made at a mach
303) byamethodsimilartothatdevelopedbys =>  by a methods im i la rt o that developed by s
304) inthecourseofinvestigatingboundary =>  in the course of investigating boundary
305) ananalysisispresentedwhichpredicts =>  an analysis is presented which predicts
306) thesupersonicflowaboutabluntbodyof =>  the supersonic flow about ab l u n t body of
307) theproblemoftheflowalongaflatplate =>  the problem of the flow along a flatplate
308) theresultsoftestsonpressurizedring =>  there s u l t soft e s t so np re s s u r i z e d ring
309) resultsoffatiguetestscarriedoutatr =>  results off at i g u et e s t s carried out at r
310) asimplemethodisgivenwhichissuitable =>  as im p l e method is given which is suitable
311) mosttreatmentsofmagnetohydrodynamic =>  most treatments of magnetohydrodynamic
312) walledcircularcylindersisreplacedby =>  walled circular cylinders is replaced by
313) inthepresentreportthestabilityoftwo =>  in the present report the stability of two
314) hasbeenextendedtothecylindricalcase =>  has been extended to the cylindrical case
315) theflowfieldanalyzedconsistsofathin =>  the flow field analyzed consists of at h in
316) thepossibilityofagradualinstability =>  the possibility of a gradual instability
317) measurementshavebeenmadeofthedirect =>  measurements have been made of the direct
318) thispaperpresentsnumericalresultsof =>  this paper presents numerical results of
319) themomentumequationwasuncoupledfrom =>  them o m e n t u m equation was uncoupled from
320) existingtheoriesforthestantontubeare =>  existing theories forth e stanton tube are
321) whichisarevisionandextensionofnacatn =>  which is are vision and extension of naca tn
322) theelectricalconductivityofanionized =>  the electrical conductivity of an ionized
323) atheoreticalinvestigationofsymmetric =>  at he or et i cal investigation of symmetric
324) thetheoryofstabilityofdynamicsystems =>  the theory of stability of dynamics y stems
325) thepresentpapercontainsanapplication =>  the present paper contains an application
326) andpressuredistributionofatriangular =>  and pressuredistribution of at r i angular
327) methodapplicabletobodiesofrevolution =>  method applicable to bodies ofr e v o l u tion
328) vibrationinaircraftstructurecanalmost =>  vibration in aircraft structure can almost
329) thevalueofthecompressivestressatwhich =>  the value of the compressive stress at which
330) flightmodelswereflowntomeasurethezero =>  flight models were flown to measure the zero
331) astudyismadeofthestationaryconvection =>  as t u dy is made of the stationary convection
332) inspecialcircumstanceswherealargework =>  in special circumstances where al a r g e work
333) thereportdescribesaninvestigationinto =>  there p or t describes an investigation into
334) theincompressiblelaminarboundarylayer =>  the incompressible laminarboundary layer
335) dataarepresentedonsideforcesgenerated =>  data are presented on sideforce s generated
336) thedevelopmentofsupersoniccompressors =>  the development of supersonic compressors
337) alongthecentrelineoftheworkingsection =>  along the centreline of the workingsection
338) theeffectofinternalpressureonthesmall =>  the effect of internal pressure on the small
339) thetheoryofcompressibleflowinalaminar =>  the theory of compressibleflow in al a m in a r
340) theproblemofthebucklingofthincircular =>  the problem of the buckling of thin circular
341) thereportdescribesteststoobtaindirect =>  there p or t describes tests too b t a indirect
342) thepurposeofthisnoteistodiscussthetwo =>  the purpose of this note is to discuss the two
343) somewhatmoreaccuratethanthoserecently =>  somewhat more accurate than those recently
344) thispaperpresentsamethodofcalculating =>  this paper presents a method of calculating
345) astudyhasbeenmadeoftheflowdevelopment =>  as t u dy has been made of the flow development
346) theinviscidflowofaperfectgasoverblunt =>  the inviscidflow of a perfectgas over blunt
347) currentinterestintheproblemofinviscid =>  current interest in the problem of inviscid
348) thepairofmotionequationsforentryintoa =>  the pair of motion equations fore n tr y into a
349) astudyismadeoftheunsteadyflowaroundan =>  as t u dy is made of the unsteady flow around an
350) amethodispresentedforcomputingrapidly =>  a method is presented for computing rapidly
351) thedeterminationofcolumndeflectionsand =>  the determination of column deflections and
352) threecentrifugalimpellerswithparabolic =>  three centrifugal impellers with parabolic
353) controlledmissileisoneinwhichmanoeuvre =>  controlled missile is one in which manoeuvre
354) experimentaldataarepresentedonboundary =>  experimental data are presented on boundary
355) andcirculatedtothecivildefenceresearch =>  and circulated to the civil defence research
356) afterarathercompleteexploratoryprogram =>  after a rather complete exploratory program
357) presentedaretheresultsofanexperimental =>  presented are there s u l t so fan experimental
358) thesimplelinearizedtransonicflowtheory =>  the simple linearized transonic flow theory
359) randomvibrationisvibrationwhichresults =>  random vibration is vibration which results
360) inmixturesoftwodifferentgasesorliquids =>  in mixtures of two different gases or liquids
361) magneticeffectsareconsiderednegligible =>  magnetic effects are considered negligible
362) atheoreticalstudyismadeofsomecruciform =>  at he or et i cal study is made of some cruciform
363) analyticalsolutionsoftheprandtlboundary =>  analytical solutions of the prandtl boundary
364) experimentshavebeenconductedtomeasurein =>  experiments have been conducted to measure in
365) thelaminarboundarylayerinaxialflowabout =>  the laminarboundary layer in axial flow about
366) therateofdecayofellipticsatelliteorbits =>  the rate of decay of elliptic satellite orbits
367) itisfoundthatforprescribedvelocityfield =>  it is found that for prescribed velocity field
368) thehyperboliccharacterofthedifferential =>  the hyperbolic character of the differential
369) theuseofmodeltestsinthepredictionoffull =>  the use of model tests in the prediction off u l l
370) thegoverningequationsofanincompressible =>  the governing equations of an incompressible
371) theeffectsonbasepressureofjetmachnumber =>  the effects on base pressure of jet machnumber
372) ageneralmethodisdescribedforcalculating =>  age n er al method is described for calculating
373) circularringwingwithabodyofrevolutionon =>  circular ring wing with ab o dy ofr e v o l u tion on
374) theproblemofevaluatingthebendingmoments =>  the problem of evaluating the bending moments
375) anexperimentalinvestigationofthelaminar =>  an experimental investigation of the laminar
376) utilizingtheresearchresultsofpreviously =>  utilizing there search results of previously
377) thisstudyoftheflowaboutanairfoilinanear =>  this study of the flow about an airfoil in an e a r
378) rateatwhichairdensitypvarieswithheighty =>  rate at which air density pv a r i e s with height y
379) theinstabilityoftheacceleratedinterface =>  the instability of the accelerated interface
380) flowtheoremforcompressiblenonsteadyflow =>  flow theorem for compressible nonsteady flow
381) thetendencyinthepasthasbeentoassumethat =>  the tendency in the past has been to assume that
382) thepaperconcernsthehydrodynamicturbulent =>  the paper concerns the hydrodynamic turbulent
383) theproblemofpredictingthecharacteristics =>  the problem of predicting the characteristics
384) aninvestigationwasconductedinahypersonic =>  an investigation was conducted in a hypersonic
385) alinearizedsolutionbasedonadiscontinuous =>  al in e a r i z e d solution based on a discontinuous
386) thecharacteristicsofthepositionandformof =>  the characteristics of the position and form of
387) theinfluenceoftransversemagneticfieldson =>  the influence of transverse magnetic fields on
388) determinethepressureloadsproducedonaflat =>  determine the pressure loads produced on a flat
389) considerableinterestinthecharacteristies =>  considerable interest in the characteristies
390) soundpropagationofconvectionontheonehand =>  sound propagation of convection on the one hand
391) hoffhaspresentedformulaswhichcanbeusedin =>  hoff has presented formulas which can be used in
392) injectionprocesshasbeenproposedasamethod =>  injection process has been proposed as a method
393) thetitleproblemsweresolvedforthetwocases =>  the title problems were solved forth et w oc as e s
394) severalauthorshaveinvestigatedtheboundary =>  several authors have investigated the boundary
395) theequationfortheequilibriumofcylindrical =>  the equation forth e equilibrium of cylindrical
396) typeheatprotectionatthestagnationpointofa =>  type heat protection at the stagnationpoint of a
397) inordertodeterminethevelocitydistribution =>  in order to determine the velocitydistribution
398) ananalysisispresentedofsupercircularentry =>  an analysis is presented of supercircular entry
399) anidealizationoftheflowsystemusedbypotter =>  an idealization of the flows y stem used by potter
400) thepostbucklingbehaviorofinitiallyperfect =>  the postbuckling behavior of initially perfect
401) thecriticalflutterspeedisevaluatedforatwo =>  the critical flutter speed is evaluated for at w o
402) verysuitableforusewithanautomaticcomputer =>  very suitable for use with an automatic computer
403) anapproximatetheoryofthebasepressureintwo =>  an approximate theory of the base pressure in two
404) singularitiesareconsideredinthesolutionof =>  singularities are considered in the solution of
405) measurementsweremadeofloadsinducedonaflat =>  measurements were made of loads induced on a flat
406) themethodofexpressingthevelocityincrement =>  them et h o do f expressing the velocity increment
407) thispaperisconcernedwiththesimilitudelaws =>  this paper is concerned with the similitude laws
408) explicitsolutionsareobtainedforthebending =>  explicit solutions are obtained forth e bending
409) theequationsaregivenforthelaminarboundary =>  the equations are given forth e laminarboundary
410) discussionofasimilaritybetweenthepressure =>  discussion of as im i la r it y between the pressure
411) anapparatusisdescribedwhichpermitsthemode =>  an apparatus is described which permits them o de
412) byintroducingthesimilarityconcepttothetwo =>  by introducing the similarity concept to the two
413) thehovercraftisthefirstoperationalbritish =>  the hovercraft is the first operational british
414) thisreportinvestigatesthewavedragofbodies =>  this report investigates the wave drag of bodies
415) measurementsweremadeofthepressureinablunt =>  measurements were made of the pressure in ab l u n t
416) thefrequencyspectraandvibrationmodesofthin =>  the frequency spectra and vibration modes of thin
417) tofacilitatethedevelopmentofhighspeedaxial =>  to facilitate the development of highspeed axial
418) liapunovandhistheoryofstabilityisdiscussed =>  liapunov and his theory of stability is discussed
419) approximateanalyticalsolutionsarepresented =>  approximate analytical solutions are presented
420) simplifiedexpressionsdescribingthetransfer =>  simplified expressions describing the transfer
421) anexaminationoftheeffectsofcompressibility =>  an examination of the effects of compressibility
422) isstudiedanalyticallybyaperturbationmethod =>  is studied analytically by a perturbation method
423) pressuremeasurementsweremadeonaslendercone =>  pressure measurements were made on as lend er cone
424) intwopreviouspaperstheauthorshavediscussed =>  in two previous papers the authors have discussed
425) amathematicaltreatmentofthecoupledmotionof =>  a mathematical treatment of the coupled motion of
426) expansiontheoryisutilizedtoobtainequations =>  expansion theory is utilized too b t a in equations
427) thecurveofdragagainstmachnumberforstraight =>  the curve of drag against machnumber for straight
428) aprocedureispresentedwherebythecomposition =>  a procedure is presented whereby the composition
429) thenewtoniantheoryofimpacthasbeenshowntobe =>  then e w to n i an theory of impact has been shown to be
430) themaintypesofaxialcompressorsaredescribed =>  them a in types of axial compressors are described
431) walkdentheoryfortheestimationofthestrength =>  walkden theory forth e estimation of the strength
432) vonkarmanandtsienhaveshownthatunderelastic =>  von karman and tsien have shown that under elastic
433) theoryofthincylindricalshellsareintegrated =>  theory of thin cylindrical shells are integrated
434) carriedoutforunyawedbodiesofrevolutionwith =>  carried out for unyawed bodies ofr e v o l u tion with
435) inordertobringouttheimportanceoftheleading =>  in order to bring out the importance of the leading
436) theparticletreatmentisappliedtoastudyofthe =>  the particle treatment is applied to as t u dy of the
437) theauthorpointsouttherelationoftheintegral =>  the author points out there la tion of the integral
438) aproblemofcreepstabilityofcolumnsandplates =>  a problem of creep stability of columns and plates
439) pohlhausenmethodisextendedprimarilytosixth =>  pohlhausen method is extended primarily to sixth
440) advancesinthepracticaldevelopmentofboundary =>  advances in the practical development of boundary
441) scaleredundantstructureanalysesarecurrently =>  scale redundant structure analyses are currently
442) theflowofviscouselectricallyconductingfluid =>  the flow of viscous electrically conducting fluid
443) thispaperdealswiththeapplicationofnumerical =>  this paper deals with the application of numerical
444) theflowofacompressiblefluidpastaspherefixed =>  the flow of a compressible fluid past as ph er e fixed
445) therehaverecentlyarisensomequestionsastothe =>  there have recently arisen some questions as to the
446) combinedfreeandforcedconvectiveheattransfer =>  combined free and forced convective heattransfer
447) undertookthedesignandfabricationofavariable =>  undertook the design and fabrication of a variable
448) asolutionisobtainedfortherateofchangeofsemi =>  as o l u tion is obtained forth er at e of change of semi
449) astudywasmadeattransonicspeedsbythenacawing =>  as t u dy was made at transonic speeds by then a
450) thestressesanddisplacementsinapartlyplastic =>  the stresses and displacements in apart l y plastic
451) tablesofthermodynamicandtransportproperties =>  tables of thermodynamic and transport properties
452) asimplegraphicalnetworkisusedtodeterminethe =>  as im p l e graphical network is used to determine the
453) comparativetestsweremadeonsevenconventional =>  comparative tests were made on seven conventional
454) thegreatestorleastvalueofafunctionofseveral =>  the greatest or least value of a function of several
455) asystematicstudyofinducedpressuresonaseries =>  as y stem at i
456) theanalysisgivenbyprobsteinandelliottforthe =>  the analysis given by probstein and elliott forth e
457) aformulafortheinitialbucklingloadsforclamped =>  a formula forth e initial buckling loads for clamped
458) thedominatingfactorsinstructuraldesignofhigh =>  the dominating factors instruct u r al design of high
459) schlierenphotographshavebeencompiledofthetwo =>  schlieren photographs have been compiled of the two
460) threemethodsofapproximatingthedeflectionsand =>  three methods of approximating the deflections and
461) dimensionalinviscidnonequilibriumflowsofatwo =>  dimensional inviscid nonequilibrium flows of at w o
462) theoreticalinvestigationisconsideredofthetwo =>  theoretical investigation is considered of the two
463) thethermodynamicandtransportpropertiesofhigh =>  the thermodynamic and transport properties of high
464) attentionhasbeencalledbynumerousauthorstothe =>  attention has been called by numerous authors to the
465) inthetheoryofnonstationaryflowsaboutairfoils =>  in the theory of nonstationary flows about airfoils
466) thetermflutterisusedheretodenotemaintainedor =>  the term flutter is used here to denote maintained or
467) theflowinducedbythesuddencontactbetweenasemi =>  the flow induced by the sudden contact between as e m i
468) analysismethodisderivedanddemonstratedforthe =>  analysis method is derived and demonstrated forth e
